Codi_districte,Nom_districte,Lloc_de_procedencia,Nombre
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Estranger,693
7,Horta-Guinardó,Estranger,228
7,Horta-Guinardó,Estranger,964
7,Horta-Guinardó,Estranger,111
7,Horta-Guinardó,Estranger,766
7,Horta-Guinardó,Estranger,254
7,Horta-Guinardó,Estranger,247
7,Horta-Guinardó,Estranger,155
7,Horta-Guinardó,Estranger,99
7,Horta-Guinardó,Estranger,14
7,Horta-Guinardó,Estranger,925
4,Les Corts,Andalusia,48
4,Les Corts,Andalusia,29
4,Les Corts,Andalusia,12
4,Les Corts,Aragó,30
4,Les Corts,Aragó,9
4,Les Corts,Aragó,15
4,Les Corts,Principat d'Astúries,6
4,Les Corts,Principat d'Astúries,3
4,Les Corts,Principat d'Astúries,3
4,Les Corts,Illes Balears,18
4,Les Corts,Illes Balears,19
4,Les Corts,Illes Balears,15
4,Les Corts,Canaries,15
4,Les Corts,Canaries,10
4,Les Corts,Canaries,3
4,Les Corts,Cantabria,3
4,Les Corts,Cantabria,1
4,Les Corts,Cantabria,1
4,Les Corts,Castella i Lleó,18
4,Les Corts,Castella i Lleó,16
4,Les Corts,Castella i Lleó,9
4,Les Corts,Castella - la Manxa,10
4,Les Corts,Castella - la Manxa,4
4,Les Corts,Castella - la Manxa,6
4,Les Corts,Catalunya,867
4,Les Corts,Catalunya,521
4,Les Corts,Catalunya,191
4,Les Corts,Comunitat Valenciana,54
4,Les Corts,Comunitat Valenciana,33
4,Les Corts,Comunitat Valenciana,9
4,Les Corts,Extremadura,5
4,Les Corts,Extremadura,2
4,Les Corts,Extremadura,0
4,Les Corts,Galicia,17
4,Les Corts,Galicia,21
4,Les Corts,Galicia,5
4,Les Corts,Comunitat de Madrid,118
4,Les Corts,Comunitat de Madrid,28
4,Les Corts,Comunitat de Madrid,31
4,Les Corts,Regió de Múrcia,8
4,Les Corts,Regió de Múrcia,4
4,Les Corts,Regió de Múrcia,1
4,Les Corts,Comunitat Foral de Navarra,7
4,Les Corts,Comunitat Foral de Navarra,4
4,Les Corts,Comunitat Foral de Navarra,1
4,Les Corts,Pais Basc,20
4,Les Corts,Pais Basc,12
4,Les Corts,Pais Basc,4
4,Les Corts,Rioja,3
4,Les Corts,Rioja,0
4,Les Corts,Rioja,0
4,Les Corts,Ceuta,0
4,Les Corts,Ceuta,0
4,Les Corts,Ceuta,1
4,Les Corts,Melilla,0
4,Les Corts,Melilla,1
4,Les Corts,Melilla,2
4,Les Corts,Estranger,1162
4,Les Corts,Estranger,666
4,Les Corts,Estranger,342
8,Nou Barris,Andalusia,22
8,Nou Barris,Andalusia,39
8,Nou Barris,Andalusia,16
8,Nou Barris,Andalusia,1
8,Nou Barris,Andalusia,17
8,Nou Barris,Andalusia,3
8,Nou Barris,Andalusia,22
8,Nou Barris,Andalusia,20
8,Nou Barris,Andalusia,36
8,Nou Barris,Andalusia,7
8,Nou Barris,Andalusia,5
8,Nou Barris,Andalusia,16
8,Nou Barris,Andalusia,0
8,Nou Barris,Aragó,6
8,Nou Barris,Aragó,11
8,Nou Barris,Aragó,9
8,Nou Barris,Aragó,0
8,Nou Barris,Aragó,2
8,Nou Barris,Aragó,1
8,Nou Barris,Aragó,9
8,Nou Barris,Aragó,7
8,Nou Barris,Aragó,2
8,Nou Barris,Aragó,5
8,Nou Barris,Aragó,1
8,Nou Barris,Aragó,4
8,Nou Barris,Aragó,0
8,Nou Barris,Principat d'Astúries,2
8,Nou Barris,Principat d'Astúries,5
8,Nou Barris,Principat d'Astúries,1
8,Nou Barris,Principat d'Astúries,0
8,Nou Barris,Principat d'Astúries,0
8,Nou Barris,Principat d'Astúries,0
8,Nou Barris,Principat d'Astúries,2
8,Nou Barris,Principat d'Astúries,7
8,Nou Barris,Principat d'Astúries,5
8,Nou Barris,Principat d'Astúries,1
8,Nou Barris,Principat d'Astúries,1
8,Nou Barris,Principat d'Astúries,0
8,Nou Barris,Principat d'Astúries,0
8,Nou Barris,Illes Balears,10
8,Nou Barris,Illes Balears,7
8,Nou Barris,Illes Balears,13
8,Nou Barris,Illes Balears,1
8,Nou Barris,Illes Balears,3
8,Nou Barris,Illes Balears,3
8,Nou Barris,Illes Balears,9
8,Nou Barris,Illes Balears,9
8,Nou Barris,Illes Balears,12
8,Nou Barris,Illes Balears,4
8,Nou Barris,Illes Balears,0
8,Nou Barris,Illes Balears,1
8,Nou Barris,Illes Balears,0
8,Nou Barris,Canaries,14
8,Nou Barris,Canaries,17
8,Nou Barris,Canaries,3
8,Nou Barris,Canaries,2
8,Nou Barris,Canaries,4
8,Nou Barris,Canaries,3
8,Nou Barris,Canaries,7
8,Nou Barris,Canaries,9
8,Nou Barris,Canaries,8
8,Nou Barris,Canaries,1
8,Nou Barris,Canaries,0
8,Nou Barris,Canaries,1
8,Nou Barris,Canaries,0
8,Nou Barris,Cantabria,0
8,Nou Barris,Cantabria,2
8,Nou Barris,Cantabria,0
8,Nou Barris,Cantabria,0
8,Nou Barris,Cantabria,2
8,Nou Barris,Cantabria,0
8,Nou Barris,Cantabria,2
8,Nou Barris,Cantabria,0
8,Nou Barris,Cantabria,1
8,Nou Barris,Cantabria,2
8,Nou Barris,Cantabria,1
8,Nou Barris,Cantabria,1
8,Nou Barris,Cantabria,0
8,Nou Barris,Castella i Lleó,12
8,Nou Barris,Castella i Lleó,9
8,Nou Barris,Castella i Lleó,3
8,Nou Barris,Castella i Lleó,0
