Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Lloc_de_procedencia,Nombre
2018,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Illes Balears,30
2018,6,Gracia,28,Vallcarca i els Penitents,Illes Balears,12
2018,6,Gracia,29,el Coll,Illes Balears,9
2018,6,Gracia,30,la Salut,Illes Balears,14
2018,6,Gracia,31,la Vila de Gracia,Illes Balears,59
2018,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Illes Balears,20
2018,7,Horta-Guinardó,33,el Baix Guinardó,Illes Balears,19
2018,7,Horta-Guinardó,34,Can Baró,Illes Balears,9
2018,7,Horta-Guinardó,35,el Guinardó,Illes Balears,22
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Illes Balears,6
2018,7,Horta-Guinardó,37,el Carmel,Illes Balears,11
2018,7,Horta-Guinardó,38,la Teixonera,Illes Balears,10
2018,7,Horta-Guinardó,39,Sant Genis dels Agudells,Illes Balears,3
2018,7,Horta-Guinardó,40,Montbau,Illes Balears,3
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Illes Balears,3
2018,7,Horta-Guinardó,42,la Clota,Illes Balears,0
2018,7,Horta-Guinardó,43,Horta,Illes Balears,13
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Illes Balears,10
2018,8,Nou Barris,45,Porta,Illes Balears,7
2018,8,Nou Barris,46,el Turó de la Peira,Illes Balears,13
2018,8,Nou Barris,47,Can Peguera,Illes Balears,1
2018,8,Nou Barris,48,la Guineueta,Illes Balears,3
2018,8,Nou Barris,49,Canyelles,Illes Balears,3
2018,8,Nou Barris,50,les Roquetes,Illes Balears,9
2018,8,Nou Barris,51,Verdun,Illes Balears,9
2018,8,Nou Barris,52,la Prosperitat,Illes Balears,12
2018,8,Nou Barris,53,la Trinitat Nova,Illes Balears,4
2018,8,Nou Barris,54,Torre Baró,Illes Balears,0
2018,8,Nou Barris,55,Ciutat Meridiana,Illes Balears,1
2018,8,Nou Barris,56,Vallbona,Illes Balears,0
2018,9,Sant Andreu,57,la Trinitat Vella,Illes Balears,2
2018,9,Sant Andreu,58,Baró de Viver,Illes Balears,2
2018,9,Sant Andreu,59,el Bon Pastor,Illes Balears,1
2018,9,Sant Andreu,60,Sant Andreu,Illes Balears,15
2018,9,Sant Andreu,61,la Sagrera,Illes Balears,14
2018,9,Sant Andreu,62,el Congrés i els Indians,Illes Balears,9
2018,9,Sant Andreu,63,Navas,Illes Balears,4
2018,10,Sant Marti,64,el Camp de l'Arpa del Clot,Illes Balears,24
2018,10,Sant Marti,65,el Clot,Illes Balears,16
2018,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Illes Balears,13
2018,10,Sant Marti,67,la Vila Olimpica del Poblenou,Illes Balears,8
2018,10,Sant Marti,68,el Poblenou,Illes Balears,15
2018,10,Sant Marti,69,Diagonal Mar i el Front Maritim del Poblenou,Illes Balears,12
2018,10,Sant Marti,70,el Besòs i el Maresme,Illes Balears,9
2018,10,Sant Marti,71,Provençals del Poblenou,Illes Balears,10
2018,10,Sant Marti,72,Sant Marti de Provençals,Illes Balears,10
2018,10,Sant Marti,73,la Verneda i la Pau,Illes Balears,9
2018,1,Ciutat Vella,1,el Raval,Canaries,47
2018,1,Ciutat Vella,2,el Barri Gòtic,Canaries,34
2018,1,Ciutat Vella,3,la Barceloneta,Canaries,9
2018,1,Ciutat Vella,4,Sant Pere,Canaries,16
2018,2,Eixample,5,el Fort Pienc,Canaries,36
2018,2,Eixample,6,la Sagrada Familia,Canaries,28
2018,2,Eixample,7,la Dreta de l'Eixample,Canaries,26
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Canaries,39
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Canaries,26
2018,2,Eixample,10,Sant Antoni,Canaries,26
2018,3,Sants-Montjuic,11,el Poble Sec,Canaries,29
2018,3,Sants-Montjuic,12,la Marina del Prat Vermell,Canaries,0
2018,3,Sants-Montjuic,13,la Marina de Port,Canaries,17
2018,3,Sants-Montjuic,14,la Font de la Guatlla,Canaries,9
2018,3,Sants-Montjuic,15,Hostafrancs,Canaries,9
2018,3,Sants-Montjuic,16,la Bordeta,Canaries,11
2018,3,Sants-Montjuic,17,Sants - Badal,Canaries,13
2018,3,Sants-Montjuic,18,Sants,Canaries,16
2018,4,Les Corts,19,les Corts,Canaries,15
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Canaries,10
2018,4,Les Corts,21,Pedralbes,Canaries,3
2018,5,Sarria-Sant Gervasi,22,Vallvidrera,Canaries,0
2018,5,Sarria-Sant Gervasi,23,Sarria,Canaries,9
2018,5,Sarria-Sant Gervasi,24,les Tres Torres,Canaries,6
2018,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Canaries,19
2018,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Canaries,10
2018,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Canaries,26
2018,6,Gracia,28,Vallcarca i els Penitents,Canaries,7
2018,6,Gracia,29,el Coll,Canaries,4
2018,6,Gracia,30,la Salut,Canaries,9
2018,6,Gracia,31,la Vila de Gracia,Canaries,24
2018,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Canaries,16
2018,7,Horta-Guinardó,33,el Baix Guinardó,Canaries,7
2018,7,Horta-Guinardó,34,Can Baró,Canaries,8
2018,7,Horta-Guinardó,35,el Guinardó,Canaries,19
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Canaries,2
2018,7,Horta-Guinardó,37,el Carmel,Canaries,17
2018,7,Horta-Guinardó,38,la Teixonera,Canaries,4
2018,7,Horta-Guinardó,39,Sant Genis dels Agudells,Canaries,2
2018,7,Horta-Guinardó,40,Montbau,Canaries,0
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Canaries,0
2018,7,Horta-Guinardó,42,la Clota,Canaries,0
2018,7,Horta-Guinardó,43,Horta,Canaries,6
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Canaries,14
2018,8,Nou Barris,45,Porta,Canaries,17
2018,8,Nou Barris,46,el Turó de la Peira,Canaries,3
2018,8,Nou Barris,47,Can Peguera,Canaries,2
2018,8,Nou Barris,48,la Guineueta,Canaries,4
2018,8,Nou Barris,49,Canyelles,Canaries,3
2018,8,Nou Barris,50,les Roquetes,Canaries,7
2018,8,Nou Barris,51,Verdun,Canaries,9
2018,8,Nou Barris,52,la Prosperitat,Canaries,8
2018,8,Nou Barris,53,la Trinitat Nova,Canaries,1
2018,8,Nou Barris,54,Torre Baró,Canaries,0
2018,8,Nou Barris,55,Ciutat Meridiana,Canaries,1
2018,8,Nou Barris,56,Vallbona,Canaries,0
2018,9,Sant Andreu,57,la Trinitat Vella,Canaries,3
2018,9,Sant Andreu,58,Baró de Viver,Canaries,0
2018,9,Sant Andreu,59,el Bon Pastor,Canaries,5
2018,9,Sant Andreu,60,Sant Andreu,Canaries,13
2018,9,Sant Andreu,61,la Sagrera,Canaries,6
2018,9,Sant Andreu,62,el Congrés i els Indians,Canaries,3
2018,9,Sant Andreu,63,Navas,Canaries,8
2018,10,Sant Marti,64,el Camp de l'Arpa del Clot,Canaries,20
2018,10,Sant Marti,65,el Clot,Canaries,17
2018,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Canaries,3
2018,10,Sant Marti,67,la Vila Olimpica del Poblenou,Canaries,2
2018,10,Sant Marti,68,el Poblenou,Canaries,22
2018,10,Sant Marti,69,Diagonal Mar i el Front Maritim del Poblenou,Canaries,3
2018,10,Sant Marti,70,el Besòs i el Maresme,Canaries,20
2018,10,Sant Marti,71,Provençals del Poblenou,Canaries,4
2018,10,Sant Marti,72,Sant Marti de Provençals,Canaries,8
2018,10,Sant Marti,73,la Verneda i la Pau,Canaries,4
2018,1,Ciutat Vella,1,el Raval,Cantabria,5
2018,1,Ciutat Vella,2,el Barri Gòtic,Cantabria,5
2018,1,Ciutat Vella,3,la Barceloneta,Cantabria,5
2018,1,Ciutat Vella,4,Sant Pere,Cantabria,4
2018,2,Eixample,5,el Fort Pienc,Cantabria,4
2018,2,Eixample,6,la Sagrada Familia,Cantabria,2
2018,2,Eixample,7,la Dreta de l'Eixample,Cantabria,11
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Cantabria,8
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Cantabria,5
